product,units_sold,stock_on_hand,category,unit_retail
Silk Slip Dress,48,2,Ready-to-wear,890
Velvet Lip Glow,120,34,Beauty,72
Cashmere Wrap Coat,22,4,Outerwear,2480
Noir Eau de Parfum,67,9,Fragrance,195
Sculpt Bronze Stick,91,18,Beauty,48
Ivory Leather Tote,31,3,Accessories,1650
Satin Heel Mule,44,7,Footwear,890
Pearl Drop Earring,55,28,Jewelry,420
Merino Turtleneck,38,12,Knitwear,640
Crystal Clutch,19,1,Accessories,1280
Amber Body Oil,73,15,Beauty,85
Tailored Wool Trouser,26,6,Ready-to-wear,720
Rose Quartz Serum,84,11,Beauty,110
Onyx Watch Strap,17,8,Accessories,190
Champagne Blazer,29,5,Ready-to-wear,1450
